direct_sponsor,direct_sponsor_type,funded_award_count,funded_award_dollars,dare_award_count,other_cas_award_count,dare_unique_direct_sponsor,median_fa_rate,mean_fa_rate,zero_fa_award_count,low_fa_award_count,low_fa_award_share,fa_types,low_fa_threshold
Environmental Defense Fund,Domestic Non-Profit (other than Domestic Foundations),3,649032.57,1,2,FALSE,15,15,0,0,0,TDC,10
Conscience Bay Research,Domestic Commercial,2,523028.77,2,0,TRUE,15,15,0,0,0,TDC,10
USDA-USFS-Forest Research,Federal,6,423370.75,0,6,FALSE,15,15,0,0,0,TDC,10
Zoma Foundation,Domestic Foundations,1,349990.64,0,1,FALSE,15,15,0,0,0,TDC,10
Woods Hole Research Center,Domestic Non-Profit (other than Domestic Foundations),1,306325.18,0,1,FALSE,15,15,0,0,0,TDC,10
United States - Israel Binational Science Foundation,Foreign Non-Profit (other than Foreign Foundations),2,226932.71,0,2,FALSE,15,15,0,0,0,TDC,10
Colorado Division of Water Resources,State of Colorado,4,200711.61,0,4,FALSE,15,15,0,0,0,TDC,10
"Cotton, Inc.",Domestic Commercial,5,134793.92,0,5,FALSE,15,15,0,0,0,TDC,10
American Society for Prevention of Cruelty to Animals,Domestic Non-Profit (other than Domestic Foundations),2,120299.67,0,2,FALSE,15,15,0,0,0,TDC,10
University of Kentucky,Other Domestic Higher Education,1,79906.37,1,0,TRUE,15,15,0,0,0,TDC,10
Urban School Food Alliance,Domestic Non-Profit (other than Domestic Foundations),1,65714.95,1,0,TRUE,15,15,0,0,0,TDC,10
National Corn Growers Association,Domestic Non-Profit (other than Domestic Foundations),1,59990.46,0,1,FALSE,15,15,0,0,0,TDC,10
Northern Water,State of Colorado Other Local Government,1,48504.72,0,1,FALSE,15,15,0,0,0,TDC,10
Colorado Department of Natural Resources,State of Colorado,1,48126.48,0,1,FALSE,15,15,0,0,0,TDC,10
American University,Other Domestic Higher Education,1,30973.34,0,1,FALSE,15,15,0,0,0,TDC,10
Colorado Division of Parks and Wildlife,State of Colorado,1,28806.98,0,1,FALSE,15,15,0,0,0,TDC,10
USDA-USFS-Southwestern Region,Federal,1,26111.77,0,1,FALSE,15,15,0,0,0,TDC,10
USDA-USFS-Pacific SW,Federal,1,7400.1,0,1,FALSE,15,15,0,0,0,TDC,10
DOI-USGS-Geological Survey,Federal,2,447999.85,0,2,FALSE,17.5,17.5,0,0,0,MTDC; TDC,10
DOI-NPS-National Park Service,Federal,5,305951.49,2,3,FALSE,17.5,17.5,0,0,0,TDC,10
DOI-BLM-Bureau of Land Management,Federal,1,21955.94,1,0,TRUE,17.5,17.5,0,0,0,TDC,10
Binational Agricultural Research and Development Fund,Foreign Government,1,129981.26,0,1,FALSE,20,20,0,0,0,TDC,10
Resources for the Future,Domestic Non-Profit (other than Domestic Foundations),2,42002.04,2,0,TRUE,20,20,0,0,0,TDC,10
USDA-NIFA-National Institute of Food and Agriculture,Federal,48,22081164.42,6,42,FALSE,24.78,22.54,19,21,0.4375,MTDC; No Indirect Cost Allowed; TDC,10
California Department of Food and Agriculture,Other Domestic State Government,1,1226744.91,0,1,FALSE,25,25,0,0,0,TDC,10
Colorado Higher Education Competitive Research Authority,State of Colorado Higher Education,2,536483.7,0,2,FALSE,26,26,1,1,0.5,MTDC; No Indirect Cost Allowed,10
South Platte Water Renewal Partners,State of Colorado Other Local Government,5,492347.57,0,5,FALSE,26,26,0,0,0,MTDC,10
Washington University in St. Louis,Other Domestic Higher Education,1,54994.77,1,0,TRUE,26,26,0,0,0,MTDC,10
The Ohio State University,Other Domestic Higher Education,4,3395012.49,1,3,FALSE,26.42,28.71,0,2,0.5,MTDC; TDC,10
"University of California, Berkeley",Other Domestic Higher Education,1,134995.49,0,1,FALSE,30,30,0,0,0,MTDC,10
Texas A and M University,Other Domestic Higher Education,6,1743361.36,3,3,FALSE,31.5,28.42,2,3,0.5,MTDC; No Indirect Cost Allowed; TDC,10
EPA-Environmental Protection Agency,Federal,3,5539218.64,0,3,FALSE,34,34.33,0,0,0,MTDC,10
DOC-NIST-Nat. Inst. Standards and Tech..,Federal,1,999999.73,0,1,FALSE,34,34,0,0,0,MTDC,10
"National Beef Packing Company, LLC",Domestic Commercial,1,232856.03,0,1,FALSE,34,34,0,0,0,MTDC,10
"Radiant Innovation, LLC",Domestic Commercial,3,213212.85,0,3,FALSE,34,34.33,0,0,0,MTDC,10
Colorado School of Public Health Center for Global Health,State of Colorado Higher Education,1,127039.86,1,0,TRUE,34,34,0,0,0,MTDC,10
California Air Resources Board,Other Domestic State Government,1,99981.6,0,1,FALSE,34,34,0,0,0,MTDC,10
The Beacon Fund,Domestic Commercial,1,98637.92,1,0,TRUE,34,34,0,0,0,MTDC,10
Nourish Colorado,Domestic Non-Profit (other than Domestic Foundations),1,84980.99,1,0,TRUE,34,34,0,0,0,MTDC,10
DOE-NNSA-Lawrence Livermore National Laboratory,Federal,1,79925.34,0,1,FALSE,34,34,0,0,0,MTDC,10
"MicroBios, Inc.",Domestic Commercial,1,62371.91,0,1,FALSE,34,34,0,0,0,MTDC,10
Rabo AgriFinance,Domestic Commercial,1,27910.52,0,1,FALSE,34,34,0,0,0,MTDC,10
Colorado Department of Public Health and Environment,State of Colorado,1,6904.48,0,1,FALSE,34,34,0,0,0,MTDC,10
Washington State University,Other Domestic Higher Education,4,549963.56,3,1,FALSE,34.5,39.25,0,0,0,MTDC; TDC,10
Colorado Ag Water Alliance,Domestic Non-Profit (other than Domestic Foundations),2,384115.3,0,2,FALSE,34.5,34.5,0,0,0,MTDC,10
Ralco,Domestic Commercial,2,201496.69,0,2,FALSE,34.5,34.5,0,0,0,MTDC,10
Elanco Animal Health,Domestic Commercial,8,1051154.44,0,8,FALSE,35,41.81,0,0,0,MTDC; TDC,10
"Chr. Hansen, Inc.",Domestic Commercial,3,395119.09,0,3,FALSE,35,34.67,0,0,0,MTDC,10
eXtension Foundation,Domestic Non-Profit (other than Domestic Foundations),9,180721.01,0,9,FALSE,35,34.89,0,0,0,MTDC,10
University of Colorado at Denver,State of Colorado Higher Education,6,165392.08,3,3,FALSE,35,40.67,0,0,0,MTDC,10
Salk Institute for Biological Studies,Domestic Non-Profit (other than Domestic Foundations),1,104230.8,0,1,FALSE,35,35,0,0,0,MTDC,10
Oregon State University,Other Domestic Higher Education,3,60500.47,0,3,FALSE,35,34.67,0,0,0,MTDC,10
Western Integrated Pest Management Center,Domestic Non-Profit (other than Domestic Foundations),1,39999.96,0,1,FALSE,35,35,0,0,0,MTDC,10
Joint Research Centre,Foreign Government,2,31915.44,0,2,FALSE,35,35,0,0,0,MTDC,10
University of Delaware,Other Domestic Higher Education,1,321994.12,0,1,FALSE,42.85,42.85,0,0,0,TDC,10
University of Nebraska,Other Domestic Higher Education,3,308551.33,0,3,FALSE,42.85,40.28,0,0,0,MTDC; TDC,10
California State University Monterey Bay,Other Domestic Higher Education,1,232963.78,0,1,FALSE,42.85,42.85,0,0,0,TDC,10
Organic Seed Alliance,Domestic Non-Profit (other than Domestic Foundations),1,222514.39,0,1,FALSE,42.85,42.85,0,0,0,MTDC,10
University of Connecticut,Other Domestic Higher Education,1,215978.37,0,1,FALSE,42.85,42.85,0,0,0,TDC,10
Michigan State University,Other Domestic Higher Education,1,200696.38,0,1,FALSE,42.85,42.85,0,0,0,TDC,10
New Mexico State University,Other Domestic Higher Education,1,187334.13,0,1,FALSE,42.85,42.85,0,0,0,TDC,10
Virginia Tech University,Other Domestic Higher Education,1,119617.28,0,1,FALSE,42.85,42.85,0,0,0,TDC,10
University of Maryland,Other Domestic Higher Education,1,107550.99,1,0,TRUE,42.85,42.85,0,0,0,TDC,10
Purdue University,Other Domestic Higher Education,1,92882.34,1,0,TRUE,42.85,42.85,0,0,0,TDC,10
University of Nevada Reno,Other Domestic Higher Education,1,28051.24,1,0,TRUE,42.85,42.85,0,0,0,TDC,10
Arizona State University,Other Domestic Higher Education,2,40720.31,2,0,TRUE,48.17,48.17,0,0,0,MTDC; TDC,10
NSF-National Science Foundation,Federal,13,7295261.54,0,13,FALSE,52,40.42,3,3,0.2308,MTDC; No Indirect Cost Allowed; TDC,10
Shell Oil Company,Domestic Commercial,1,2045512.49,0,1,FALSE,52,52,0,0,0,MTDC,10
Cornell University,Other Domestic Higher Education,4,1689041.67,1,3,FALSE,52,43.91,0,0,0,MTDC; TDC,10
Lynker Corporation,Domestic Commercial,1,1318810.99,0,1,FALSE,52,52,0,0,0,MTDC,10
National Center for Appropriate Technology,Domestic Non-Profit (other than Domestic Foundations),1,1042848.37,0,1,FALSE,52,52,0,0,0,MTDC,10
DOD-US Department of Defense,Federal,1,745053.59,0,1,FALSE,52,52,0,0,0,MTDC,10
"University of California, Riverside",Other Domestic Higher Education,1,499294.9,0,1,FALSE,52,52,0,0,0,MTDC,10
Utah State University,Other Domestic Higher Education,1,457037.14,1,0,TRUE,52,52,0,0,0,MTDC,10
HHS-NIH-Child Health and Human Develop,Federal,1,425258.36,0,1,FALSE,52,52,0,0,0,MTDC,10
University of New Hampshire,Other Domestic Higher Education,1,315600.93,0,1,FALSE,52,52,0,0,0,MTDC,10
University of Wyoming,Other Domestic Higher Education,3,117893.66,2,1,FALSE,52,35.33,1,1,0.3333,MTDC; No Indirect Cost Allowed,10
Evoq Nano,Domestic Commercial,1,111668.48,0,1,FALSE,52,52,0,0,0,MTDC,10
Merck Animal Health,Domestic Commercial,1,106295.25,0,1,FALSE,52,52,0,0,0,MTDC,10
Gretchen Swanson Center for Nutrition,Domestic Non-Profit (other than Domestic Foundations),1,82431.17,1,0,TRUE,52,52,0,0,0,MTDC,10
"Mead & Hunt, Inc.",Domestic Commercial,1,73254.03,0,1,FALSE,52,52,0,0,0,MTDC,10
Southern Illinois University Edwardsville,Other Domestic Higher Education,1,57270.18,0,1,FALSE,52,52,0,0,0,MTDC,10
"Diamond V Mills, Inc.",Domestic Commercial,1,50210.2,0,1,FALSE,52,52,0,0,0,MTDC,10
State of Colorado,State of Colorado,1,38466.5,0,1,FALSE,52,52,0,0,0,MTDC,10
Bayer Corporation / Agriculture Division,Domestic Commercial,2,738767.54,0,2,FALSE,52.75,52.75,0,0,0,MTDC,10
DOE-US Department of Energy,Federal,2,11489954.19,0,2,FALSE,53,53,0,0,0,MTDC,10
DOJ-OJP-NIJ-National Inst. of Justice,Federal,2,1317628.53,0,2,FALSE,53,53,0,0,0,MTDC,10
Syngenta,Domestic Commercial,5,933086.25,0,5,FALSE,53,48,0,0,0,MTDC,10
University of Colorado,State of Colorado Higher Education,1,899541.97,0,1,FALSE,53,53,0,0,0,MTDC,10
Nufarm,Foreign Commercial,2,674772.88,0,2,FALSE,53,53,0,0,0,MTDC,10
Akorn Technology,Domestic Commercial,1,105078.46,0,1,FALSE,53,53,0,0,0,MTDC,10
RiceTec,Domestic Commercial,2,46239.59,0,2,FALSE,53,53,0,0,0,MTDC,10
"SAM HPRP Chemicals, Inc.",Domestic Commercial,1,12737.67,0,1,FALSE,53,53,0,0,0,MTDC,10
DOC-NOAA-Natl Oceanic and Atmospheric Admn,Federal,1,499999.42,1,0,TRUE,53.5,53.5,0,0,0,MTDC,10
FFRDC-Lawrence Livermore National Laboratory,Federal,1,390004.51,0,1,FALSE,53.5,53.5,0,0,0,MTDC,10
FFRDC-Lawrence Berkeley National Lab,Federal,1,339514.35,0,1,FALSE,53.5,53.5,0,0,0,MTDC,10
Zoetis,Domestic Commercial,1,276041.65,0,1,FALSE,53.5,53.5,0,0,0,MTDC,10
Koloma,Domestic Commercial,1,253583.41,0,1,FALSE,53.5,53.5,0,0,0,MTDC,10
Corteva Agriscience,Domestic Commercial,1,20128.65,0,1,FALSE,53.5,53.5,0,0,0,MTDC,10
"Rocky Mountain Innovation Initiative, Inc. DBA Innosphere Ventures",Domestic Non-Profit (other than Domestic Foundations),2,599636.9,0,2,FALSE,54,54,0,0,0,MTDC,10
Exxon Mobil Corporation,Domestic Commercial,1,488504.6,0,1,FALSE,54,54,0,0,0,MTDC,10
"UPL, LTD.",Foreign Commercial,1,186375.66,0,1,FALSE,54,54,0,0,0,MTDC,10
"Bayer CropScience, LP",Foreign Commercial,1,152347.81,0,1,FALSE,54,54,0,0,0,MTDC,10
NASA-National Aeronautics and Space Administration,Federal,1,134524,1,0,TRUE,54,54,0,0,0,MTDC,10
Nutreco Nederland B.V.,Foreign Commercial,1,111999.61,0,1,FALSE,54,54,0,0,0,MTDC,10
"Cargill, Inc.",Domestic Commercial,1,105084.46,0,1,FALSE,54,54,0,0,0,MTDC,10
Silicon Ranch Corporation,Domestic Commercial,1,35249.9,0,1,FALSE,54,54,0,0,0,MTDC,10
