key_id,year,funded,amount,lead_unit_code,project_title,originating_sponsor,originating_sponsor_type,direct_sponsor,direct_sponsor_type,sponsor_selection_rule
K000150697,2021,TRUE,12496,1177,IR-4 Minor Crop Pest Management,USDA-NIFA-National Institute of Food and Agriculture,Federal,"University of California, Davis",Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000150492,2021,TRUE,17999.27,1173,IR-4 Minor Crop Pest Management (2021),USDA-NIFA-National Institute of Food and Agriculture,Federal,"University of California, Davis",Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000150014,2021,FALSE,57883.32,1170,"Validation, Characterization and Deployment of QTL for Grain Yield Components in Wheat",USDA-NIFA-National Institute of Food and Agriculture,Federal,"University of California, Davis",Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149328,2021,TRUE,542838.95,1170,Leveraging High-Throughput Genotyping and Phenotyping Technologies to Accelerate Wheat Improvement,USDA-NIFA-National Institute of Food and Agriculture,Federal,"University of California, Davis",Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000151429,2021,FALSE,24952.18,1177,Developing IPM Strategies for Hemp in the West,USDA-NIFA-National Institute of Food and Agriculture,Federal,"University of California, Riverside",Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149981,2021,FALSE,301207.38,1170,Treatment and Reuse of Irrigation Return Flow With Nutrient Recovery for Sustainable Agroecosystems,USDA-NIFA-National Institute of Food and Agriculture,Federal,University of Cincinnati,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149687,2021,FALSE,79666.74,1170,"UAV-Borne Imagery to Develop Multi-Dimensional Phenomics Tool to Differentiate Strategically Important Useful and Non-Useful Biomass Related Traits to Improve Harvest Index, Grain Yield and Grain Numb",USDA-NIFA-National Institute of Food and Agriculture,Federal,University of Florida,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149969,2021,FALSE,138244.17,1171,Advancing Innovations in Value-Addition of Meat Byproducts,USDA-NIFA-National Institute of Food and Agriculture,Federal,University of Georgia,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149245,2021,TRUE,74918.7,1172,Helping Beginning Growers Analyze Market Channels to Improve Profits,USDA-NIFA-National Institute of Food and Agriculture,Federal,University of Minnesota,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149228,2021,FALSE,554225.68,1170,"A Systems Approach to Supporting Beekeepers with Education, Regenerative Agriculture Methods, and Scientific Testing to Increase Market Share",USDA-NIFA-National Institute of Food and Agriculture,Federal,University of Missouri,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149079,2021,FALSE,112770.16,1173,Designing A New Course-Based Undergraduate Research Experience For The Plant Science Curriculum,USDA-NIFA-National Institute of Food and Agriculture,Federal,University of Northern Colorado,State of Colorado Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149210,2021,FALSE,743507.96,1172,A Systems Approach to Catalyze the Potential of Hemp as a Conduit to Sustainable Rural Development,USDA-NIFA-National Institute of Food and Agriculture,Federal,University of Vermont,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149027,2021,TRUE,457037.14,1172,Smart Foodscapes to Enhance the Sustainability of Western Beef Production,USDA-NIFA-National Institute of Food and Agriculture,Federal,Utah State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000151123,2021,TRUE,49993.47,1172,Rancher Risk Management of Reintroduced Wolves in Colorado,USDA-NIFA-National Institute of Food and Agriculture,Federal,Washington State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000153612,2022,TRUE,66999.3,1172,COVID 19: Modeling COVID-19 to Support the State Government,Colorado Department of Public Health and Environment,State of Colorado,University of Colorado at Denver,State of Colorado Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000153930,2022,TRUE,61364.38,1172,Measuring the Economic Impacts of African Swine Fever Virus on United States Supply Chains,DHS-US Department of Homeland Security,Federal,Texas A and M University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000153474,2022,TRUE,899541.97,1170,Chemical and Microbial Indicators of Permafrost Degradation from Changes in Climate,DOD-US Department of Defense,Federal,University of Colorado,State of Colorado Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000152331,2022,FALSE,2483359.48,1173,From the ground up: Designing Root Exudation in Sorghum to Regulate Soil Carbon Dynamics for Maximum Biomass Production in Marginal Soils,DOE-US Department of Energy,Federal,Clemson University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
