key_id,year,lead_unit_code,lead_unit_name,dare_lead,investigator_entry,investigator_name,investigator_role,investigator_unit_code,investigator_last,investigator_first,investigator_person_key,parse_success,roster_last,roster_first,roster_area,dare_roster_match
K000162963,2025,1173,Horticulture + Landscape Architecture,FALSE,"Bousselot,Jennifer M (Primary PI) 1173","Bousselot,Jennifer M",Primary PI,1173,Bousselot,Jennifer M,bousselot|j,TRUE,,,,FALSE
K000162963,2025,1173,Horticulture + Landscape Architecture,FALSE,"Zurbuchen,Allisa (Co-PI) 4010","Zurbuchen,Allisa",Co-PI,4010,Zurbuchen,Allisa,zurbuchen|a,TRUE,,,,FALSE
K000162688,2025,1170,Soil + Crop Sciences,FALSE,"Mason,Richard Esten (Primary PI) 1170","Mason,Richard Esten",Primary PI,1170,Mason,Richard Esten,mason|r,TRUE,,,,FALSE
K000163066,2025,1173,Horticulture + Landscape Architecture,FALSE,"Bauerle,William L (Primary PI) 1173","Bauerle,William L",Primary PI,1173,Bauerle,William L,bauerle|w,TRUE,,,,FALSE
K000163090,2025,1177,Agricultural Biology,FALSE,"Nachappa,Punya (Primary PI) 1177","Nachappa,Punya",Primary PI,1177,Nachappa,Punya,nachappa|p,TRUE,,,,FALSE
K000161575,2025,1170,Soil + Crop Sciences,FALSE,"Willige,Bjorn Christopher (Primary PI) 1170","Willige,Bjorn Christopher",Primary PI,1170,Willige,Bjorn Christopher,willige|b,TRUE,,,,FALSE
K000162716,2025,1177,Agricultural Biology,FALSE,"Nachappa,Punya (Primary PI) 1177","Nachappa,Punya",Primary PI,1177,Nachappa,Punya,nachappa|p,TRUE,,,,FALSE
K000161683,2025,1170,Soil + Crop Sciences,FALSE,"Wardle,Erik M (Primary PI) 1170","Wardle,Erik M",Primary PI,1170,Wardle,Erik M,wardle|e,TRUE,,,,FALSE
K000161683,2025,1170,Soil + Crop Sciences,FALSE,"Deleon,Emmanuel (Co-PI) 1170","Deleon,Emmanuel",Co-PI,1170,Deleon,Emmanuel,deleon|e,TRUE,,,,FALSE
K000161683,2025,1170,Soil + Crop Sciences,FALSE,"Brown,Ansley Joseph (Co-PI) 1170","Brown,Ansley Joseph",Co-PI,1170,Brown,Ansley Joseph,brown|a,TRUE,,,,FALSE
K000161683,2025,1170,Soil + Crop Sciences,FALSE,"Bauder,Troy A (Co-PI) 3001","Bauder,Troy A",Co-PI,3001,Bauder,Troy A,bauder|t,TRUE,,,,FALSE
K000162761,2025,1170,Soil + Crop Sciences,FALSE,"Mason,Richard Esten (Primary PI) 1170","Mason,Richard Esten",Primary PI,1170,Mason,Richard Esten,mason|r,TRUE,,,,FALSE
K000162944,2025,1177,Agricultural Biology,FALSE,"Dao,Phuong Duc (Primary PI) 1177","Dao,Phuong Duc",Primary PI,1177,Dao,Phuong Duc,dao|p,TRUE,,,,FALSE
